Row.names,d129002.d129002.3B2.l2tpm,d129003.d129003.3B2.l2tpm,d129004.d129004.3B2.l2tpm,d129005.d129005.3B2.l2tpm,d129006.d129006.3B2.l2tpm,d129007.d129007.3B2.l2tpm,d129008.d129008.3B2.l2tpm,d129009.d129009.3B2.l2tpm,d129011.d129011.3B2.l2tpm,d129012.d129012.3B2.l2tpm,d129013.d129013.3B2.l2tpm,d129014.d129014.3B2.l2tpm,d129016.d129016.3B2.l2tpm,d129017.d129017.3B2.l2tpm,d129018.d129018.3B2.l2tpm,d129019.d129019.3B2.l2tpm,d129020.d129020.3B2.l2tpm,d129021.d129021.3B2.l2tpm,d129022.d129022.Superfolder_GFP.l2tpm,d129023.d129023.Superfolder_GFP.l2tpm,d129024.d129024.Superfolder_GFP.l2tpm,d129025.d129025.Superfolder_GFP.l2tpm,d129026.d129026.Superfolder_GFP.l2tpm,d129027.d129027.Superfolder_GFP.l2tpm,d129028.d129028.Superfolder_GFP.l2tpm,d129029.d129029.Superfolder_GFP.l2tpm,d129030.d129030.Superfolder_GFP.l2tpm,d129031.d129031.Superfolder_GFP.l2tpm,d129032.d129032.Superfolder_GFP.l2tpm,d129033.d129033.Superfolder_GFP.l2tpm,d129034.d129034.Superfolder_GFP.l2tpm,d129035.d129035.Superfolder_GFP.l2tpm,d129036.d129036.Superfolder_GFP.l2tpm,d129037.d129037.Superfolder_GFP.l2tpm,d129038.d129038.Superfolder_GFP.l2tpm,d129039.d129039.Superfolder_GFP.l2tpm,d129040.d129040.RBD-J.l2tpm,d129041.d129041.RBD-J.l2tpm,d129042.d129042.RBD-J.l2tpm,d129043.d129043.RBD-J.l2tpm,d129044.d129044.RBD-J.l2tpm,d129045.d129045.RBD-J.l2tpm,d129046.d129046.RBD-J.l2tpm,d129047.d129047.RBD-J.l2tpm,d129048.d129048.RBD-J.l2tpm,d129049.d129049.RBD-J.l2tpm,d129050.d129050.RBD-J.l2tpm,d129051.d129051.RBD-J.l2tpm,d129052.d129052.RBD-J.l2tpm,d129053.d129053.RBD-J.l2tpm,d129054.d129054.RBD-J.l2tpm,d129055.d129055.RBD-J.l2tpm,d129056.d129056.RBD-J.l2tpm,d129057.d129057.RBD-J.l2tpm,d129058.d129058.RBD-J.l2tpm,d129059.d129059.RBD-J.l2tpm,d129060.d129060.RBD-J.l2tpm,d129061.d129061.RBD-J.l2tpm,d129062.d129062.RBD-J.l2tpm,d129063.d129063.RBD-J.l2tpm
GQ67_00031,3.025505479,2.745942692,4.864171136,3.742641482,3.562492042,3.514355346,3.4209251,3.690868161,3.216934856,3.852156086,3.852695938,3.156737671,4.381142073,2.914738631,3.646745264,3.914915683,4.280890486,4.808318372,2.780479559,1.575020373,5.773050697,4.889344356,2.832828053,4.702121031,7.606331771,3.476361985,8.386383217,4.065764698,4.705888463,3.687302051,3.967951638,4.534171382,4.14020678,3.511583536,4.038347942,3.644342354,5.254479646,3.900588045,7.989880021,2.942585254,2.87992823,3.641460251,1.274782876,5.816778727,3.114728153,4.539381062,6.032914445,4.108045319,6.610864033,3.209950191,4.113830246,4.66278531,4.497305465,6.410478166,4.136433894,5.626584421,5.175853382,4.135404105,3.716454749,4.985460719
GQ67_00032,1.992595152,0,0,0,0,0,1.248738839,1.625818469,0,3.684842521,0.859944112,1.542774603,0,0,0,1.641163572,0.726097915,0,1.790186919,1.963147446,1.981326978,0,0,0,3.952851651,1.163749894,4.671748248,0,1.212330271,0,0,2.118069297,1.229023039,0.861131185,0,0,0.689377892,0,3.280114793,1.932433517,1.067704793,1.01888196,0.761562721,2.817877395,0,0,0,1.407163461,3.46386829,1.588936456,1.714991459,0,0.981732119,2.54714033,0,2.308323884,0,1.169896147,0,2.373956621
GQ67_00033,0,1.392272355,0,0,0,0,0.560983906,0.809671266,0,0,0.980439216,0.931332078,0.808656058,0,0,0.919671111,0.355290339,1.524674535,1.455983395,0.745345772,0.547103304,0.872549056,0.68568544,0,1.859938548,0.861291611,3.217183091,0,1.149464242,0.239818384,0.539178667,1.120432899,0.947968315,0.646567292,0.273043169,0.521747285,0.779937092,0.751631676,2.528552066,1.083251499,0.999730191,0.545366462,0.389276041,1.420274883,0,0,0.938773572,1.265389486,1.402176425,0,0,0,0.759101279,1.712927199,0.266675018,1.441223707,0.846372961,0.837280459,1.720960465,1.212702552
GQ67_00034,1.439553461,0,4.042769605,0,0,1.26380544,2.243318112,0.978558089,0,2.082570779,1.572946405,3.549997836,0,0,0,1.829114024,1.498323383,0,3.595480984,0,1.836465488,0,2.767586581,2.328194805,3.709767705,1.414075983,4.190631847,1.901052234,0,1.115374228,1.922003319,1.733677989,3.968857619,1.01740672,1.105686123,0.804205588,1.795301487,0,3.537328127,3.193506831,2.65618217,3.426914425,0,0.839279991,0,0,3.12457893,2.923588674,2.808091539,0,2.602823612,0,3.351993197,2.701636215,0,1.848595501,0,2.866745011,0,2.584981977
GQ67_00035,4.925957751,4.908467369,5.061590277,4.667212218,5.123499588,4.921024135,5.13870632,4.932247451,5.473644291,4.547731937,5.365486293,5.138712708,5.123744487,4.716306631,4.930065784,4.568360749,4.680900645,4.457444775,4.735351903,4.593466003,4.486875235,4.942845841,4.909493945,4.542386586,5.562016949,4.451632812,5.127699677,4.925197883,5.213425364,5.129075336,5.123164783,5.665250149,4.784708071,5.306437571,5.144085292,5.353595818,5.428869821,4.721112973,5.631688461,5.0410175,5.301255759,5.434647141,5.052690417,5.034020264,4.897170129,4.522855553,4.622048656,4.384822009,5.687110364,4.974068439,5.344409046,5.405994946,5.535879145,5.847985185,4.896967111,5.760684185,4.958039367,4.833452859,4.839229693,4.826051657
GQ67_00036,3.856875567,3.928215859,4.182412232,3.964482086,4.239952618,3.318228614,3.367882768,3.475053745,3.815935545,2.074724633,4.139903532,3.956660469,3.331854952,3.28158105,3.21739747,3.141296265,3.379404431,3.02298826,4.149555452,4.137292104,3.780632832,4.190881568,4.464907978,4.558982069,4.462491083,3.618335224,4.108053769,4.309116802,3.989798245,4.15348953,4.179532388,4.636181565,4.171362492,3.956499432,3.6579172,3.868282383,3.716448273,3.502090472,4.288560407,4.007440954,4.348153865,4.808417591,4.155709733,4.940762456,4.086140897,3.298585153,2.786990854,3.312753307,5.107010715,4.199025873,4.222770487,4.376728933,4.369935301,5.044555342,3.675276005,4.003184028,3.87906484,3.084055588,3.284639683,3.571121951
GQ67_00037,6.95771488,6.990413033,6.983482856,7.374020712,7.268439578,6.929302538,7.150414994,6.951222937,7.100676582,6.800711677,8.395380086,7.231410855,6.744165268,6.707399127,7.188565664,6.939566826,7.111128772,6.921358407,7.125570002,7.01666498,7.236934228,7.369355529,7.650660144,7.287416765,7.949105737,6.059518255,9.014178279,6.77632414,7.296969455,6.782610001,7.205744561,8.729482534,6.676135366,6.368578887,6.288354797,7.027798117,8.404309559,7.164431614,9.111030665,7.232580351,7.579410394,8.817872897,7.28473084,9.518166827,6.981226509,6.4704468,6.641715114,6.924437307,9.157829445,6.682075656,7.400845631,7.716667273,7.76386905,9.118115703,6.576196709,8.779295426,6.637626518,7.094578025,6.735656151,6.712200209
GQ67_00038,5.932838405,5.880709301,4.958256386,5.069417457,4.998705999,4.615832354,5.024926836,5.11900318,5.384908846,3.554079951,5.218140917,5.153446239,4.924256549,5.060825866,4.727882944,4.572370569,4.616392046,4.714726281,4.984711833,5.436520769,4.648490638,4.625072017,4.925530989,4.948871888,4.073230098,3.672393772,5.043136197,4.998223129,4.749131544,4.651933518,4.695409548,5.27944964,4.741514716,5.006113029,4.810337546,4.789413608,4.429840485,3.873857876,4.944134481,5.580371189,5.4101461,5.944378178,4.965923608,5.985707461,5.223093079,4.66228635,4.563086787,4.720822712,5.806174031,4.373957178,5.000110407,5.256455202,5.156370525,5.573881574,5.36526147,5.950196647,5.364736267,4.22775047,4.30553451,4.311006849
GQ67_00039,2.984139976,3.180100747,3.927231542,3.562489966,3.756721871,3.146058048,3.415333988,3.474201611,3.551265355,1.183477622,3.137369904,3.746706927,3.661427078,3.497173168,3.222475992,3.314180253,3.139534981,2.890782277,3.238920425,3.297782756,3.114133776,3.564420363,3.835508987,3.847277584,3.409087022,3.662164816,2.597731624,3.809625791,4.050524857,3.946870913,3.692696004,3.119945088,3.823151781,3.102043301,3.976929695,4.031505212,3.829256127,3.820422745,3.172272759,3.494614783,3.570071966,2.707621527,3.65468059,2.012996234,3.446331407,3.193434444,3.349288838,3.279808826,2.251944756,4.467602746,4.396609918,4.317170257,4.24229046,3.339812385,4.637633429,3.813069235,4.485231599,2.987515698,3.396027245,3.491956069
GQ67_00040,3.354236333,3.130032859,2.666387124,2.64694118,2.759457767,2.633880573,2.860039893,2.860846027,3.03091057,2.509063147,3.096993643,3.023365901,3.02872685,3.051094152,3.090753183,2.007261175,2.462942797,1.880209446,2.85025416,2.837576367,3.334670525,2.85091281,2.726321389,2.957320316,3.040422383,2.137710077,3.248623484,2.696659125,2.613295663,2.820182844,2.760854316,2.998315211,3.291060677,2.534214781,2.368143092,2.451874434,2.183974582,1.847988491,2.64792577,2.731596654,2.876700814,2.829044998,2.603586943,2.862671969,2.48003991,2.214748387,2.559200553,2.549100605,3.26148132,2.888072416,2.860608088,3.006900113,2.846868959,2.968433824,2.629531948,3.370964099,2.782059592,1.933627777,1.983958911,2.120581532
GQ67_00041,6.552008357,6.684749378,6.946712417,6.767029548,6.817887203,5.456638154,5.717066264,5.772935322,6.753805422,5.62436671,7.126628129,6.421910377,6.063653999,5.9974504,6.29365713,5.441525509,5.607900354,5.395191361,6.94019759,6.824687304,6.989675194,6.675847412,6.849962491,6.629088808,5.788824702,4.930778489,5.553644683,6.397238007,6.649854763,6.671278297,6.58618228,6.991303572,6.272133945,5.420802718,5.432089353,6.006135768,5.696387105,5.294498859,5.730398726,6.989594366,7.273282515,7.820662822,6.859679278,6.859495328,6.612151976,4.933024726,4.951831611,5.249966119,7.008420375,6.395547725,6.790247389,6.76305751,6.861809512,7.214790557,6.029928199,6.648900861,5.921737464,4.959221391,5.262132815,5.175327385
GQ67_00043,5.426793489,5.221119119,5.088717483,5.000668444,5.557725052,6.762786329,6.365381358,6.499300812,7.462573933,7.455778906,5.589054517,5.692781049,8.637107716,8.744475991,8.552824869,6.244180091,6.227670965,6.267931436,4.549305433,4.81063348,4.724534972,4.724146987,4.852623437,4.730262687,7.952012967,7.738127269,8.157771859,8.208880521,7.994015846,8.086474299,5.629983604,5.130991845,5.528978192,8.827770025,8.758094886,8.745385255,8.036785702,8.142595178,7.906628921,4.857010631,4.759275485,4.545770973,4.875990064,4.377232537,5.258933094,6.82486078,6.998886272,6.854952063,7.279726391,7.87967017,7.787442697,5.385683556,5.366263911,4.88901092,8.59008316,8.383383992,8.552408574,7.164796755,7.119299284,7.197637004
GQ67_00044,8.960158899,8.972961836,8.540864867,8.320251404,8.485625707,7.928182784,7.479132927,8.253569057,8.486875593,8.270175355,7.934355776,9.02571846,7.57730534,7.58556793,7.143488635,7.59722448,7.509446713,7.668852486,7.99096999,8.890031402,7.278677158,7.928199162,7.651855859,7.839501142,5.925966317,7.127390496,6.084694434,8.373275437,7.505889818,8.380726605,8.770466692,7.869809169,9.196966114,8.578941026,8.628702064,7.193018547,6.951885124,7.734326835,6.828802973,8.569407844,7.805637164,7.636897576,8.04216584,7.555786083,8.652260959,7.744016691,7.036144648,7.475898683,6.932220363,7.396441555,7.02523434,8.416979914,8.422723112,8.070096911,7.443876875,6.993821963,7.938073548,7.692208847,8.063573431,7.941494998
GQ67_00045,7.718385554,7.645071026,7.561700548,7.553522498,7.522818133,6.227193185,6.282070614,6.327275243,7.547673552,7.72507917,7.765844196,7.46879196,6.832581738,6.978564083,7.037743586,5.937576928,6.015603318,5.778099187,7.526363003,7.700907942,7.487042505,7.513731196,7.748339608,7.321672183,7.582588879,6.446873363,7.41511598,7.382333608,7.496510573,7.375211545,7.280471911,7.638447303,7.37350149,7.127024793,7.037561702,7.313718107,6.746889326,6.202458902,6.970608649,7.60456099,7.569061026,7.961312659,7.472355364,7.984870457,7.562998572,6.183455489,6.191751838,6.331254967,7.68671569,7.359318321,7.554772622,7.363546266,7.347669314,7.595553048,6.838420249,7.542092796,7.039694446,6.11540361,6.177205056,5.971382124
