Row.names,d139002.GP.129.2.l2tpm,d139003.GP.129.3.l2tpm,d139004.GP.129.4.l2tpm,d139005.GP.130.1.l2tpm,d139006.GP.130.2.l2tpm,d139007.GP.130.3.l2tpm,d139008.GP.130.4.l2tpm,d139009.GP.142.1.l2tpm,d139010.GP.142.2.l2tpm,d139011.GP.142.3.l2tpm,d139012.GP.142.4.l2tpm,d139013.GP.147.1.l2tpm,d139014.GP.147.2.l2tpm,d139015.GP.147.3.l2tpm,d139016.GP.147.4.l2tpm,d139017.GP.191.1.l2tpm,d139018.GP.191.2.l2tpm,d139019.GP.191.3.l2tpm,d139020.GP.191.4.l2tpm,d139021.GP.194.1.l2tpm,d139022.GP.194.2.l2tpm,d139023.GP.194.3.l2tpm,d139024.GP.194.4.l2tpm,d139025.GP.196.1.l2tpm,d139026.GP.196.2.l2tpm,d139027.GP.196.3.l2tpm,d139028.GP.196.4.l2tpm,d139029.GP.199.1.l2tpm,d139030.GP.199.2.l2tpm,d139031.GP.199.3.l2tpm,d139032.GP.199.4.l2tpm,d139033.GP.205.1.l2tpm,d139034.GP.205.2.l2tpm,d139035.GP.205.3.l2tpm,d139036.GP.205.4.l2tpm,d139037.GP.242.1.l2tpm,d139038.GP.242.2.l2tpm,d139039.GP.242.3.l2tpm,d139040.GP.242.4.l2tpm,d139041.GP.251.1.l2tpm,d139042.GP.251.2.l2tpm,d139043.GP.251.3.l2tpm,d139044.GP.251.4.l2tpm,d139045.GP.276.1.l2tpm,d139046.GP.276.2.l2tpm,d139047.GP.276.3.l2tpm,d139048.GP.276.4.l2tpm,d139049.GP.289.1.l2tpm,d139050.GP.289.2.l2tpm,d139051.GP.289.3.l2tpm,d139052.GP.289.4.l2tpm,d139053.GP.308.1.l2tpm,d139054.GP.308.2.l2tpm,d139055.GP.308.3.l2tpm,d139056.GP.308.4.l2tpm,d139058.WP.WT.2.l2tpm,d139059.WP.WT.3.l2tpm,d139060.WP.WT.4.l2tpm,d139061.WP.212.1.l2tpm,d139062.WP.212.2.l2tpm,d139063.WP.212.3.l2tpm,d139064.WP.212.4.l2tpm
GQ67_00031,4.823155604,5.328084374,4.306579271,6.521653357,5.192568602,6.18309095,5.518409149,5.579520654,6.072187668,5.206798979,4.971235807,5.955670526,4.810629984,4.620438439,3.725127854,5.71633934,6.069001548,6.300386004,6.569658173,6.04737222,7.259244603,6.053125568,6.363091667,5.994485684,5.384192653,4.827518415,4.602723744,4.958765157,6.160403805,5.521979707,5.557541113,5.65944573,4.763365998,4.030196305,4.732414981,3.150792796,5.278654664,5.685248173,4.503178184,6.663198222,6.923302167,6.017976275,4.237578555,7.23101965,7.707120295,6.730621399,6.423466032,7.334077405,5.909520946,7.700956492,6.134780451,5.786979305,5.529327535,5.488912936,4.346613721,3.673331183,4.511050123,3.949281015,4.564816886,4.693335794,3.806544209,3.567651675
GQ67_00032,2.782140551,1.780736754,0,4.214660664,1.557563505,4.460761498,1.477447825,0,0,3.103841529,0,2.480201518,1.783331762,0,2.642573583,1.47031143,0,2.089877419,0,3.377041962,0,0,3.293933384,3.020417392,2.047374707,0,0,1.763086453,0,0,0,0,0,1.705505991,0,0,0,0,1.877169413,1.903437078,1.764494783,0,0,0,0,0,0,0,1.394101414,0,0,1.740436723,2.438457608,1.759818426,1.472151363,1.548578668,1.597389103,0,0,0,0,0
GQ67_00033,1.220151,0,0,1.571594784,0.897262114,1.587317941,1.765975974,0.818823571,1.526571664,1.404226837,2.679608458,0,0.617516658,1.098975318,1.115777045,1.131584217,1.560470898,0.787419091,1.349189743,1.268925988,2.75471672,1.49684988,1.23320949,1.753322559,0.764160986,0.574371852,1.140237462,0,1.427451169,1.511199312,1.714184401,1.310440175,1.342554177,0,0.414120375,0,1.029534869,0,0,1.742122657,1.625522997,0.666806574,1.373756218,3.144710444,2.29398928,3.238874122,2.829633444,2.24544455,2.473030954,1.786294828,0.920698799,1.605892999,2.14838262,2.362098682,1.906201015,1.184193952,1.45926688,1.578706414,1.745123289,0.589885224,1.082896026,0.797917752
GQ67_00034,0,0,0,0,0,2.358008246,0,3.916282584,2.755066172,0,4.381680613,2.883762147,0,2.324792462,0,3.015709505,2.330825403,2.308585423,2.349232779,0,4.858258513,0,3.170121675,2.506260954,2.508518153,1.979159058,2.115076869,2.177660475,0,2.233465986,3.230808314,2.01592355,0,2.169160491,1.551461385,0,2.200157166,0,2.839341675,3.601658012,5.111612239,2.353069174,2.103008769,4.573809669,4.793242049,5.159255871,4.983276019,2.961068182,2.940863023,0,2.756709917,4.989592595,5.324101248,0,4.404425368,2.165855998,1.721632955,0,1.892696048,0,1.697518968,0
GQ67_00035,4.58290104,4.756530544,4.419326584,5.190899381,5.142455223,4.790805864,5.274049752,3.963775209,4.6241577,4.682968692,4.432811256,3.866013507,3.47555913,3.617556974,3.717176513,5.322363903,4.306048124,4.376322963,4.788755443,4.787765882,4.590276128,4.434808078,5.386665601,3.589122999,3.816783795,4.153829246,4.599752382,4.820530529,4.452993149,4.212403116,4.915068087,4.167096954,4.410736801,4.301684579,4.606377199,4.170793483,3.319803172,3.706054843,3.813238277,3.467225998,3.616869208,3.767808487,4.118505085,5.244813857,4.270595918,4.777037436,5.337037106,4.022923565,3.009423498,3.764142617,3.647325448,3.95099603,3.753138644,4.218075919,4.263275812,4.445451405,4.04473001,4.355167829,4.263581474,4.257208673,4.241202496,4.593139682
GQ67_00036,4.014231016,3.960258234,4.100130194,4.162462228,4.085256122,4.497104491,4.109422161,4.151548916,4.269353602,3.912730236,4.695685649,3.781917693,3.651122776,3.546564222,3.507725136,4.023942909,4.533666626,4.391471206,4.503151273,4.637963574,5.101210974,4.95220877,4.801222665,4.699150205,4.680576413,4.333586672,4.266807825,3.91916157,4.735822328,4.191567151,4.039754216,4.135777487,3.807566674,4.113894573,3.780454781,3.542617131,3.678494057,3.94002332,4.073033476,4.856401823,4.949164687,4.788628346,4.550330737,5.905880596,6.176502919,6.076507404,6.036465947,5.169356748,5.061661296,5.498843336,4.988383984,4.747873999,4.866938137,4.716032693,4.779061901,2.816000183,2.869215038,2.744219448,3.660802691,3.366845197,3.417812423,3.603151075
GQ67_00037,6.3167277,6.325120131,6.506694983,5.776607474,5.609036981,5.87541175,5.514834624,6.489794217,6.440830125,6.485002506,6.571575126,5.615789342,6.09089699,5.941308636,6.120260463,5.708713387,6.058773717,6.273405688,6.347190325,6.497998118,6.438346403,6.494047817,6.526607045,7.08805905,7.3793359,7.291522494,7.152475316,6.877793971,7.412431265,6.909360358,6.916122615,6.966689551,7.026384483,7.011565533,6.990922365,6.768908971,6.609494774,6.984514628,7.10633342,7.197192233,7.088915042,7.217374852,7.450649992,7.754043526,7.712853532,7.811797161,7.830771526,7.072394868,7.061571398,7.410587842,7.140270352,7.337724194,7.442983567,7.437561121,7.042032167,5.347054897,5.601056045,5.801099327,6.591357374,6.709244737,6.508072546,6.441744134
GQ67_00038,5.592828801,5.338935401,5.309189432,3.679002256,3.721167671,3.655181329,3.604003814,4.791672086,5.395035989,4.726202843,5.529107542,5.492315069,4.874359321,4.483943954,4.579323964,3.590131902,3.928979111,4.339847723,4.4485029,4.876427656,5.681714784,5.302376743,4.754883869,7.16296203,6.925436302,6.767980626,6.449111395,5.878610343,6.355381087,6.127936581,5.85585267,6.977193657,6.661352451,6.50727949,6.206356028,6.27314922,6.90562896,6.772948844,6.634230023,7.344781238,7.3006013,7.047866363,6.765859634,7.790244697,8.036556351,7.763998174,7.564617914,8.453319652,7.997840869,8.548047977,7.847349634,7.467903766,7.427813462,7.29085323,7.087983571,4.715066329,4.455579534,4.699757884,5.938647573,6.3364269,5.79993635,6.092104578
GQ67_00039,3.743064769,3.481801498,3.495603456,2.03295633,1.975549851,2.186791159,2.152301881,3.127099681,3.457770645,2.991743862,3.519370049,3.208914711,2.866524263,2.486674476,2.752981031,2.515071285,2.905360143,2.476831147,3.162100444,2.727314286,3.463691373,3.404269625,3.037921243,4.530018101,4.662960723,4.336702566,4.122548983,3.54925392,4.014882191,4.053044154,3.592959157,4.376595798,4.289784604,4.167533035,4.004738586,3.665619709,4.153110892,4.072503302,4.191236602,4.850846319,4.646840403,4.623146739,4.602195135,4.569211567,4.463525616,4.314780475,4.378692434,4.896573533,4.745275093,5.130580653,4.794367204,4.959730286,4.66466419,4.802291565,4.720273594,3.437334552,3.309210828,3.103650713,3.039263176,3.202223207,2.953147509,3.053120896
GQ67_00040,2.243428104,1.938041464,2.489818809,1.531369981,1.729686756,1.833337029,1.374848635,2.358594028,2.698595664,2.380250964,2.776630002,4.096897531,3.483188399,3.450296731,3.545478165,2.168013608,2.393507361,2.187729431,2.069695637,2.42618584,2.756849302,2.761011178,2.501713772,3.1254977,3.16369886,3.034089439,3.018565812,2.592648626,2.658670787,2.466308661,2.681084666,3.107534387,2.92797797,3.101813933,3.103351432,4.354887174,4.475252431,4.797190294,4.825064252,3.549823042,3.651086258,3.642859925,3.578467557,4.359224069,4.382442808,4.671350388,4.247216089,4.716541065,4.692283848,4.724301997,4.821083568,4.392911279,4.448567785,4.315206164,3.985768452,2.017291972,1.900028618,1.911548551,2.992176913,2.984877678,2.511029497,2.45461548
